frequency,distance,len_phrase,nnp,nn,jj, vb,cd,sumsimilarity,class
0,-1,0.0625,1,1,0,0,0,0.0821534162387,1
3,82,0.05555555555555555,1,1,0,0,0,0.264112995006,1
1,1716,0.05,1,1,0,0,0,0.0946903880686,1
0,-1,0.0625,1,1,0,0,0,0.162468416616,1
0,-1,0.05,1,0,0,1,0,0.0633516944945,1
0,-1,0.03571428571428571,1,1,0,0,0,0.16191897355,1
0,-1,0.07142857142857142,0,0,0,0,0,0.264112995006,0
0,-1,0.045454545454545456,0,0,0,0,0,0.0821534162387,0
0,-1,0.0625,0,0,0,0,0,0.0946903880686,0
0,-1,0.5,0,0,0,0,0,0.162468416616,0
0,-1,0.038461538461538464,0,0,0,0,0,0.0633516944945,0
9,24056,0.16666666666666666,0,0,0,0,0,0.16191897355,0
1,34414,0.125,1,0,0,0,0,0.0356813769322,1
3,143,0.25,1,0,0,0,0,0.0645822798833,1
0,-1,0.041666666666666664,0,1,0,1,0,0.2443035529,1
0,-1,0.0625,1,1,0,0,0,0.0689618624747,1
0,-1,0.043478260869565216,1,1,0,0,0,0.0783382464894,1
0,-1,0.058823529411764705,0,1,0,0,1,0.178758522185,1
0,-1,0.03571428571428571,0,0,0,0,0,0.0356813769322,0
1,8054,0.0625,0,0,0,0,0,0.0645822798833,0
0,-1,0.034482758620689655,0,0,0,0,0,0.2443035529,0
1,34303,0.14285714285714285,0,0,0,0,0,0.0689618624747,0
0,-1,0.02857142857142857,0,0,0,0,0,0.0783382464894,0
0,-1,0.04,0,0,0,0,0,0.178758522185,0
0,-1,0.043478260869565216,1,0,1,0,0,0.0119035020471,1
0,-1,0.09090909090909091,0,1,0,1,0,0.0985768958926,1
0,-1,0.09090909090909091,1,0,0,0,0,0.0,1
0,-1,0.058823529411764705,1,0,0,1,0,0.0341411181726,1
0,-1,0.05555555555555555,1,1,0,0,0,0.0975578418002,1
0,-1,0.05555555555555555,0,0,0,0,0,0.0119035020471,0
0,-1,0.043478260869565216,0,0,0,0,0,0.0985768958926,0
0,-1,0.03571428571428571,0,0,0,0,0,0.0,0
2,11646,0.1,0,0,0,0,0,0.0341411181726,0
5,20197,0.16666666666666666,0,0,0,0,0,0.0975578418002,0
1,49746,0.0625,1,1,0,0,0,0.173351487727,1
0,-1,0.06666666666666667,1,0,0,0,0,0.0,1
0,-1,0.07142857142857142,1,1,0,0,0,0.196458898252,1
