frequency,distance,len_phrase,nnp,nn,jj, vb,cd,sumsimilarity,class
1, 0, 2,3 ,4,0,5,1,0, 2
3,82,0.05555555555555555,1,1,0,0,0,0.264112995006,1
1,1716,0.05,1,1,0,0,0,0.0946903880686,1
0,-1,0.0625,1,1,0,0,0,0.162468416616,1
0,-1,0.05,1,0,0,1,0,0.0633516944945,1
0,-1,0.03571428571428571,1,1,0,0,0,0.16191897355,1
0,-1,0.07142857142857142,0,0,0,0,0,0.264112995006,0
0,-1,0.045454545454545456,0,0,0,0,0,0.0821534162387,0
0,-1,0.0625,0,0,0,0,0,0.0946903880686,0
0,-1,0.5,0,0,0,0,0,0.162468416616,0
0,-1,0.038461538461538464,0,0,0,0,0,0.0633516944945,0
9,24056,0.16666666666666666,0,0,0,0,0,0.16191897355,0
1,34414,0.125,1,0,0,0,0,0.0356813769322,1
3,143,0.25,1,0,0,0,0,0.0645822798833,20
